在智能机械臂实验中，“大脑”或Agent的角色是由什么技术扮演的？,大语言模型（LLM），例如DeepSeek。
该机械臂实验采用的软件逻辑模式，结合了推理（Reasoning）和行动（Acting），被称为_____模式。,ReAct
在ReAct模式下，大语言模型（LLM）如何将复杂任务转化为具体步骤？,它会推理并生成一个工具调用链（Tool Chain），而非直接生成运动坐标。
在智能机械臂系统中，“眼睛”或感知层由哪两个主要部分组成？,USB摄像头和多模态大模型（VLM）API，例如Qwen-VL。
实验中用于将高层Python指令转化为底层伺服电机信号的库是什么？,pymycobot库。
连接虚拟算法与物理世界的桥梁，也是本实验最关键的难点是什么？,坐标系的转换精度。
将摄像头中的“像素坐标”转化为机械臂的“物理坐标”所使用的核心数学模型是什么？,仿射变换（Affine Transformation）。
为了求解仿射变换矩阵，实验中采用了什么数学方法？,利用采集的多组对应点数据，通过最小二乘法进行求解。
为什么在`eyeonhand.py`中需要分别为“抓取区”和“放置区”建立两套映射函数？,为了消除因机械臂姿态或位置不同而产生的透视畸变和位置差异，提高精度。
在进行手眼标定时，需要采集至少多少组“像素坐标”与“机械臂坐标”的对应点数据？,至少4组对应点数据。
在智能机械臂的硬件架构中，作为边缘计算核心的开发板是什么型号？,Jetson Nano开发板。
实验中使用的六轴机械臂的具体型号是什么？,MyCobot六轴机械臂。
在开发环境中，用于确认开发板IP地址的Linux命令是什么？,ifconfig | grep 172
在`tools.py`中，用于注册Python函数使其能被LLM调用的装饰器是什么？,@register_tool
在定义一个工具时，除了实现具体功能，还必须完善哪两个属性，以便大模型能正确理解和调用它？,功能描述（description）和参数说明（parameters）。
在`tools.py`中，`take_photo`函数除了拍照外，还应用了什么图像处理技术来提升图片清晰度？,伽马校正（Gamma Correction）。
在`move_to`工具中，当目标（target）参数是一个物体名称（如“trash bin”）时，会触发什么流程？,会触发“放置区拍照 + 视觉识别”的流程，以实现动态目标定位。
手眼标定流程的第一步“物理打点”具体指什么操作？,控制机械臂尖端依次触碰工作区域的四个角，并记录下这些位置的机械臂坐标。
手眼标定中采集到的像素坐标和机械臂坐标数据最终被保存在哪个配置文件中？,config.json
实验中出现抓取位置偏差的一个可能原因是什么？,标定点选取不精细、摄像头安装位置发生微小位移或存在透视畸变。
针对抓取位置偏差问题，可以引入哪种控制方式，在接近物体时进行二次拍照微调？,视觉伺服（Visual Servoing）闭环控制。
实验中VLM识别延迟高的主要原因是什么？,依赖云端API进行推理，网络传输与模型计算耗时较长。
为了解决代码中Z轴高度适应性差的问题，可以引入哪种类型的相机来获取物体高度信息？,深度相机（RGB-D相机）。
将人工智能从虚拟算法延伸到物理世界，使AI具备感知和操作环境的能力，这个概念被称为_____。,具身智能（Embodied AI）
在硬件组装时，如何区分机械臂电源和Jetson Nano开发板的电源插头？,机械臂电源是“直头小圆孔”，开发板电源是“直角弯小圆孔”。
开发板的默认登录用户名和密码是什么？,用户名是jetson，密码是yahboom。
在不运行实体机械臂的情况下，可以使用什么工具来验证ReAct的逻辑链是否通畅？,基于Three.js的网页端3D仿真模拟环境。
在ReAct交互逻辑架构中，大语言模型的核心职责是_____，而非直接操作硬件。,理解和规划（推理与编排）
在ReAct架构的底层，`pymycobot`库将高层指令转化为_____，从而控制伺服电机。,串口通信信号
ReAct架构的交互逻辑可以概括为：大模型负责“想”，Python工具层负责“_____”，底层驱动负责“动”。,传（参数解析与逻辑衔接）
微课视频脚本中提到的，将目标位置坐标转化为机械臂各关节运动参数的核心技术叫什么？,逆运动学求解（Inverse Kinematics）。
在3D模拟环境中，可以通过哪个HTML文件访问该界面？,web_project/index.html
如果遇到机械臂无响应的问题，应首先排查哪两个方面？,检查USB连接是否松动，或检查是否拥有sudo权限运行程序。
在开发新的工具动作时，为了确保大模型传入正确的参数（例如拍照区域），可以采用什么编程技巧来限制参数选择？,使用枚举（enum）来限制参数只能是预设的几种选择（如grabbing_area或placement_area）。
在样例目录中，运行实体机械臂测试程序的完整命令是什么？,sudo python3 agent.py
在命令行中运行样例程序时，如何正常退出程序？,同时按下 `Ctrl` 和 `c` 键。
在`grab_object`工具函数的执行流程中，第一步是什么？,读取已拍摄的图片（captured_image.jpg）。
在手眼标定过程中，推荐使用什么工具来辅助获取图像中的像素坐标？,pixspy等在线像素点拾取工具。
ReAct代理机制遵循一个怎样的循环来执行任务？,“思考-动作-观察”的循环。
实验中，包含LLM模型配置信息（如base_url和model_name）的文件是哪个？,agent.py
仿射变换作为坐标映射模型，能够保持几何图形的什么特性？,保持直线的平直性和平行性。
当开发板同时连接了网线和WiFi时，可能会导致什么网络问题？,可能会导致IP冲突或无法被ping通等故障。
在ReAct交互逻辑架构中，连接“大脑”和“手”的中间层是什么？,通过Python代码封装的工具（Tools）。
为什么说结合大模型后，机械臂具备了处理非结构化环境的能力？,因为它能够理解模糊的自然语言指令，并动态生成行动方案，而不是依赖严格的硬编码逻辑。
在进行放置区域标定时，第一步需要先确定并固定机械臂在该区域的_____。,拍照姿态（或拍照角度和坐标）。
用于实现坐标转换逻辑的Python脚本文件名是什么？,eyeonhand.py
在硬件连接时，显示屏的电源线应接到哪里，以区别于NLP实验箱？,应接到实验室的USB插座上，而不是开发板的USB口。
在整个系统中，哪个组件负责最终将坐标或角度指令发送给机械臂硬件？,MyCobot通讯库（通过`send_coords`、`send_angles`等函数）。
如果大模型生成的动作编排有问题，应该调整哪个文件中的总提示词（Prompt）？,react_agent/agent.py
除了引入深度相机，还有什么方法可以改善机械臂对不同高度物体的适应性？,在夹爪上增加触觉传感器以获得反馈。
